FACILITY_NME,ORGNZTN_NME,SCOPE3_CAT5_IDN,BU_UNIT_IDN,FACILITY_IDN.1,PRDCT_CATGRY_CDE,PRDCT_CATGRY,PRDCT_INGREDIENT,INDUSTRL_PRCSS_TYP,PRCSS_DESC_TEXT,INDUSTRY_TYP_CDE,ORDER_IDN,QNTY_RECVD_NUM,QNTY_RECVD_NUM_UNIT,ALLWD_FOOD_WASTGE_LVL_PRCNT_NUM,ALLWD_FOOD_WASTGE_LVL_QTY_NUM,ALLWD_FOOD_WASTGE_LVL_QTY_NUM_UNIT,IDEAL_RETL_OUTPUT_NUM,IDEAL_RETL_OUTPUT_NUM_UNIT,FOOD_EXPRD_PRCNT_NUM,QNTY_OF_FOOD_EXPRD_NUM,QNTY_OF_FOOD_EXPRD_NUM_UNIT,OTHER_FOOD_WASTE_PRCNT_NUM,QNTY_OTHER_FOOD_WASTE_NUM,QNTY_OTHER_FOOD_WASTE_NUM_UNIT,TOTL_FOOD_WASTE_NUM,TOTL_FOOD_WASTE_NUM_UNIT,FOOD_PRCSSNG_STGE_OUTPT_NUM,FOOD_PRCSSNG_STGE_OUTPT_NUM_UNIT,INGRDNT_COST_NUM,INGRDNT_COST_NUM_UNIT,CALCLTD_WASTGE_COST_NUM,CALCLTD_WASTGE_COST_NUM_UNIT,WASTE_COLLCTN_COST_NUM,WASTE_COLLCTN_COST_NUM_UNIT,WASTE_TRTMNT_COST_NUM,WASTE_TRTMNT_COST_NUM_UNIT,TOTL_COST_NUM,TOTL_COST_NUM_UNIT,CONSMPTN_STRT_DTE,CONSMPTN_END_DTE,PURCHSD_ORDR_DTE,WASTE_GENRTN_PRCSS_TYP,WASTE_GENRTN_PRCSS_CATGRY,WASTE_DIVRSN_METHD_CDE,WASTE_DIVRSN_METHD_SUB_TYP_CDE,WASTE_DIVRSN_SITE_TYP_CDE,HAZRD_TYP_CDE,WASTE_DISPSL_METHOD_CDE,SUPPLR_NME,SPND_TYP,DATA_QLTY_TYP,COMPONENT_ID,EVIDENCE_TXT_1,EVIDENCE_TXT_2,EVIDENCE_TXT_3,FRST_LOAD_TME.2,FRST_LOAD_UPTD_BY.2,LST_UPDT_TME.2,LST_UPDT_BY.2,SRC_INFO.2,INDUSTRY.2,Platform_Type
O&S Germany,One Shop,6c96382b80556774dacce59257ab69c1,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora6094,918.000000,tonnes,1.500000,13.800000,%,904.000000,tonnes,1.600000,14.500000,tonnes,1.300000,11.750000,%,40.000000,tonnes,878.000000,tonnes,2020.000000,USD per tonnes,80753.000000,USD,1439.000000,USD,14392.000000,USD,96583.000000,USD,2022-04-01,2022-04-30,2022-03-13,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,9079fc43f40b7a254ff30beeb01fa854,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora5736,962.000000,tonnes,1.500000,14.400000,%,948.000000,tonnes,1.600000,15.200000,tonnes,1.300000,12.320000,%,42.000000,tonnes,920.000000,tonnes,2020.000000,USD per tonnes,84670.000000,USD,1509.000000,USD,15090.000000,USD,101269.000000,USD,2023-05-01,2023-05-30,2023-04-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,865e9f210a1b6aa60ebb596e393d13a1,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora4937,90.000000,tonnes,1.500000,1.400000,%,89.000000,tonnes,1.200000,1.100000,tonnes,1.100000,0.980000,%,3.000000,tonnes,87.000000,tonnes,2020.000000,USD per tonnes,6847.000000,USD,122.000000,USD,1220.000000,USD,8189.000000,USD,2022-06-01,2022-06-30,2022-05-17,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,0e0282a30294a711431e28fe25a41e70,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora3036,980.000000,tonnes,1.500000,14.700000,%,966.000000,tonnes,1.900000,18.300000,tonnes,1.300000,12.550000,%,46.000000,tonnes,935.000000,tonnes,2020.000000,USD per tonnes,92128.000000,USD,1642.000000,USD,16419.000000,USD,110189.000000,USD,2023-08-01,2023-08-30,2023-07-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,843334e2eb6c1659c78325592f130989,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora8643,974.000000,tonnes,1.500000,14.600000,%,960.000000,tonnes,1.800000,17.300000,tonnes,1.200000,11.520000,%,43.000000,tonnes,931.000000,tonnes,2020.000000,USD per tonnes,87695.000000,USD,1563.000000,USD,15629.000000,USD,104887.000000,USD,2023-11-01,2023-11-30,2023-10-17,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,daedd99c2fd7c72d91ca664a0a3a7f64,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora9178,980.000000,tonnes,1.500000,14.700000,%,966.000000,tonnes,1.900000,18.300000,tonnes,1.300000,12.550000,%,46.000000,tonnes,935.000000,tonnes,2020.000000,USD per tonnes,92128.000000,USD,1642.000000,USD,16419.000000,USD,110189.000000,USD,2023-07-01,2023-07-30,2023-06-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,9447f762f0b1368d1d616c163bff3836,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora5811,87.000000,tonnes,1.500000,1.300000,%,86.000000,tonnes,1.600000,1.400000,tonnes,1.300000,1.120000,%,4.000000,tonnes,84.000000,tonnes,2020.000000,USD per tonnes,7699.000000,USD,137.000000,USD,1372.000000,USD,9209.000000,USD,2022-02-01,2022-02-28,2022-01-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,ba80f1b26e8c050f347b21421739f20d,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora7597,974.000000,tonnes,1.500000,14.600000,%,960.000000,tonnes,1.800000,17.300000,tonnes,1.200000,11.520000,%,43.000000,tonnes,931.000000,tonnes,2020.000000,USD per tonnes,87695.000000,USD,1563.000000,USD,15629.000000,USD,104887.000000,USD,2023-12-01,2023-12-31,2023-11-16,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,2184de3d96bfc0c1fea619de6e7ebbe9,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora3028,916.000000,tonnes,1.500000,13.700000,%,903.000000,tonnes,1.400000,12.600000,tonnes,1.300000,11.730000,%,38.000000,tonnes,878.000000,tonnes,2020.000000,USD per tonnes,76985.000000,USD,1372.000000,USD,13720.000000,USD,92077.000000,USD,2022-01-01,2022-01-31,2021-12-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,5dc2906f357c9688c8166380e519dcc4,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_24ORD_FORET_GER_Bev_Ora6984,999.000000,tonnes,1.500000,15.000000,%,984.000000,tonnes,1.400000,13.800000,tonnes,1.300000,12.790000,%,42.000000,tonnes,957.000000,tonnes,2020.000000,USD per tonnes,83914.000000,USD,1495.000000,USD,14955.000000,USD,100364.000000,USD,2024-01-01,2024-01-31,2023-12-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,12e8460f012cb08c03e38940f35b9003,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora2553,87.000000,tonnes,1.500000,1.300000,%,86.000000,tonnes,1.600000,1.400000,tonnes,1.300000,1.120000,%,4.000000,tonnes,84.000000,tonnes,2020.000000,USD per tonnes,7699.000000,USD,137.000000,USD,1372.000000,USD,9209.000000,USD,2022-03-01,2022-03-31,2022-02-09,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,9566ea3d05e35e338d30afff3106546b,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_22ORD_FORET_USA_Dai_Mil4487,283.000000,tonnes,1.500000,4.200000,%,279.000000,tonnes,1.500000,4.200000,tonnes,1.500000,4.190000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8329.000000,USD,454.000000,USD,4543.000000,USD,13326.000000,USD,2022-11-01,2022-11-30,2022-10-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,5c7523edb7ae7d9cbec72b55d5d844df,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_22ORD_FORET_USA_Dai_Mil9561,283.000000,tonnes,1.500000,4.200000,%,279.000000,tonnes,1.500000,4.200000,tonnes,1.500000,4.190000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8329.000000,USD,454.000000,USD,4543.000000,USD,13326.000000,USD,2022-12-01,2022-12-31,2022-11-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,f148f53347652762495738f3e1485672,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_23ORD_FORET_USA_Dai_Mil9791,284.000000,tonnes,1.500000,4.300000,%,280.000000,tonnes,1.900000,5.300000,tonnes,1.200000,3.360000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8536.000000,USD,466.000000,USD,4656.000000,USD,13657.000000,USD,2023-01-01,2023-01-31,2022-12-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,cecb804bbd51e732c722a6c0bc357b9a,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_22ORD_FORET_USA_Dai_Mil7516,284.000000,tonnes,1.500000,4.300000,%,280.000000,tonnes,1.800000,5.000000,tonnes,1.200000,3.350000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8346.000000,USD,455.000000,USD,4552.000000,USD,13353.000000,USD,2022-07-01,2022-07-31,2022-06-16,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,d553e0eb78535c01f07a5672729adad2,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_22ORD_FORET_USA_Dai_Mil7436,284.000000,tonnes,1.500000,4.300000,%,280.000000,tonnes,1.800000,5.000000,tonnes,1.200000,3.350000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8346.000000,USD,455.000000,USD,4552.000000,USD,13353.000000,USD,2022-08-01,2022-08-31,2022-07-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S USA,One Shop,2c817a067ede3fa34059d1821b44d4c6,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Retail,Retail,R_22ORD_FORET_USA_Dai_Mil8600,284.000000,tonnes,1.500000,4.300000,%,280.000000,tonnes,1.800000,5.000000,tonnes,1.200000,3.350000,%,13.000000,tonnes,271.000000,tonnes,660.000000,USD per tonnes,8346.000000,USD,455.000000,USD,4552.000000,USD,13353.000000,USD,2022-09-01,2022-09-30,2022-08-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management Inc,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
