D_N_M_Emission,D_N_M_Row_Checksum,Do_N_M_Modifiedon,Name,Scope,Emissions_Source,Activity_type,Calculation_date,Transaction_date,Consumption_start_date,Consumption_end_date,Country_Region,Organizational_unit,Facility,Source,Latitude,Longitude,CH4,CH4_unit,CO2,CO2_unit,N2O,N2O_unit,CO2E,CO2E_unit,Ismarketbased,Isbiogenic,Emission_factor,Factor_mapping,Adjusted_activity_quantity,Adjusted_activity_quantity_unit,Origin_correlation_ID,Industry
849d3b7d-e117-ef11-840a-7c1e5205d72d,v8Bc6M9TyjW/zgG8N3ENNkenq5nvK45tMqIOz81pO94zhxLA/TxyX4dwYaVYhpc+nOCCcIlRcgn8X1ZxZ9GG4Q==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,17-08-2022,01-09-2022,30-09-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,36.9,kg,307.5,kg,24.6,kg,8560.8,kg,No,No,Composted,Composted,123,tonnes,7cc55b36ff5c015b6f2e2d6d4027ed7b,Retail
8e872874-e117-ef11-840a-7c1e520f31c6,1eB+vFXjWvxxq0xMzODsGTIoGBSvZk1eAVQTkr1lJ1/1MonLEMqmq88ln+75mj9FGrIJ0QLlrxEoV/2wKi5Rcw==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,12-05-2023,01-06-2023,30-06-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,12.6,kg,105,kg,8.4,kg,2923.2,kg,No,No,Composted,Composted,42,tonnes,00f15f11b84a0000d804f1e92307db59,Retail
9d872874-e117-ef11-840a-7c1e520f31c6,McC6DJDIN0F87b1B9Bi8oiMaCW+uOp1IdF9Y1x6Bav+ZH06rQ2yCO9KK+ot94Uun+TzQy2NDN9aJpj5Ow7R3Sg==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-05-2023,01-06-2023,30-06-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,1125,kg,45,kg,2754,g,28990.692,kg,No,No,Landfilled,Landfilled,18,tonnes,8433376d151f9a73f1fd3d4079082f4f,Retail
795c2874-e117-ef11-840a-6045bdaf1fd6,9rL2NY+DfB8aSEoR1z3+AF+ajibeO2Y7Sw86m3IUJaBmCDFwwo7jHwkVLFSNo12HWdSz2ShliLoRfJ6fZRswvA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,10-02-2022,01-03-2022,31-03-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,187.5,kg,7.5,kg,459,g,4831.782,kg,No,No,Landfilled,Landfilled,3,tonnes,f48cc917679ed5935f72056b76ec9378,Retail
845c2874-e117-ef11-840a-6045bdaf1fd6,zp3sVbCjn6pOQG3jIDiYyqxFGOw3UdaZ5OoyEYU5+nxb7R4HSIwESXehhp9U4aCBx+SmOoUA8vaADLYeZsJeTA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,15-11-2023,01-12-2023,31-12-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,11.4,kg,95,kg,7.6,kg,2644.8,kg,No,No,Composted,Composted,38,tonnes,575fbbd39a5837b4766c810917186532,Retail
3ceadf74-e117-ef11-840a-6045bdaef7dd,HxoJl4NmbXk9BuVKpHhVgjdlOO2kdwL3ZtoaSqodgWlePAIvI/1CYE7dztmWQBVoQT9gcMKPf7TdNrvRldMrMA==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,17-10-2022,01-11-2022,30-11-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,1.5,kg,12.5,kg,1,kg,348,kg,No,No,Composted,Composted,5,tonnes,ae701b8a9d591dfeb116de53e8dc76c1,Retail
6deadf74-e117-ef11-840a-6045bdaef7dd,EG6H0YhlwlpB86ogynvM+htHq8RAUuPOccGz+hz9cN5CItfWpNFRcpmIBDLn11wyPJuUQI9o+zEHECVz0/atFw==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-04-2022,01-05-2022,31-05-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,125,kg,5,kg,306,g,3221.188,kg,No,No,Landfilled,Landfilled,2,tonnes,b7cf2a0b0f301b75b775d4fdceb2cff1,Retail
271b2977-e117-ef11-840a-7c1e5205d72d,MKxtM+UVIV/BEftvJjI/jnI33JVzISSqBbQp597kpCQpdKBuCFdqFs1KNCqNeYSMqEDkMly0w5a+W2hgVO0KEQ==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,14-11-2022,01-12-2022,31-12-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,21,kg,175,kg,14,kg,4872,kg,No,No,Composted,Composted,70,tonnes,84bddbfa2dca45f5235da3344a2bdfa5,Retail
d63f4278-e117-ef11-840a-6045bde823ec,fHx1NMd91ekJBAGc/TaiahW0Dh+h2YpgAWwpjCgl/OVP8dxFCnx7nQ+vnZjGPyZhMfO9XIVy6Gvyrm7+bKBLXQ==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,12-04-2023,01-05-2023,30-05-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,5437.5,kg,217.5,kg,13311,g,140121.678,kg,No,No,Landfilled,Landfilled,87,tonnes,ee282a395b9f99619cd1fb4798916a69,Retail
d74a6f73-e117-ef11-840a-002248d4f085,gslEI+ULvDPIUPnCSx19ApIttQxdDAAswa1bN6Sy5tGA2dgrj+FzQK06B00+q3pKXHgnlYtsu1y4Pbf7aI2YCA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-04-2022,01-05-2022,31-05-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,4375,kg,175,kg,10710,g,112741.58,kg,No,No,Landfilled,Landfilled,70,tonnes,dc761450940c156dc935945bdde7e330,Retail
5adc8879-e117-ef11-840a-6045bdcf29a6,mxjzRh0t83BsInF2lVxDM5UqDBPMt8d0Thx0oYaY0tDS3KINyiSj8LPJEeo+8UfMNUvCYZyr1GTTCaMqCx/yIQ==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,22-05-2024,12-06-2022,01-07-2022,31-07-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,8187.5,kg,327.5,kg,20043,g,210987.814,kg,No,No,Landfilled,Landfilled,131,tonnes,c9e167253748d47ee6734321718311ea,Retail
7410c278-e117-ef11-840a-6045bdad28d3,RK5/gWx8UOMQ7rMyXvzFFakruLbI6RUtEEmFEg1sXKFp/OpgsdQq/mpLRGYi3uXcwCC2Qlgv+6L5LYxG74P+sQ==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,12-01-2023,01-02-2023,28-02-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,38.7,kg,322.5,kg,25.8,kg,8978.4,kg,No,No,Composted,Composted,129,tonnes,7f436150588c03de0d1ac1e45d65493a,Retail
7810c278-e117-ef11-840a-6045bdad28d3,lfI/FzuBcp00PCyu/311979Ha3KTChybzOglJArAsxjKFA6jk6fDPrATAxTNOs/j35dBovgeNB4l01wfJWQjBA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,15-05-2023,01-06-2023,30-06-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,6,kg,50,kg,4,kg,1392,kg,No,No,Composted,Composted,20,tonnes,c4d847bdc4755bbab11b390fd8f0d655,Retail
d5020277-e117-ef11-840a-6045bde848a8,3tiPQVIqJ5zcPWUSRU7MxdZ5ME8UK+7MdNq1ZT+3bkovIkM7F8Hi2/XYDHwoUjuZC2cRAybp/IS6VexXgEK94Q==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,12-02-2022,01-03-2022,31-03-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,5000,kg,200,kg,12240,g,128847.52,kg,No,No,Landfilled,Landfilled,80,tonnes,5e49ce16f798fded468a996924340b8d,Retail
c4d6277a-e117-ef11-840a-6045bdaf1fd6,60cXyisICA0g/VZtdxyixsS0LOA0Fpp1BPXYM9tZzigl5c5Ia/Q4p/FknXH2G/GlyXwaFZRR6WX/abu4Nust8Q==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,22-05-2024,12-01-2024,01-02-2024,29-02-2024,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,30125,kg,1205,kg,73746,g,776306.308,kg,No,No,Landfilled,Landfilled,482,tonnes,a8d077335aaea2ee31d6ebd7398b0d0e,Retail
8d58047c-e117-ef11-840a-002248d4d4f0,b20nXj2FeoJZn3gzndHfonL2yLZFvUJLYI4CDEB8eXEZQQNAtoi3LEWQzoBfmYLsAHEXWfZeeuHc7kgPzHZakA==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,14-10-2022,01-11-2022,30-11-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,7125,kg,285,kg,17442,g,183607.716,kg,No,No,Landfilled,Landfilled,114,tonnes,c0becd654a8f6d9a5b475788d2ae401a,Retail
809d3b7d-e117-ef11-840a-7c1e5205d72d,aDGx4zERtwj9ruBSeqSDwVWbfS2A5bkAVVotLSIFuYkCHH12nyL55vs5zrgNadM4s5pQUME2XE62INuBIxUJaA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-05-2023,01-06-2023,30-06-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,4812.5,kg,192.5,kg,11781,g,124015.738,kg,No,No,Landfilled,Landfilled,77,tonnes,cc327a3b0daa7167409ecbd9d3a7ca2a,Retail
895c2874-e117-ef11-840a-6045bdaf1fd6,5rv7wRR+xx3iL9m3Mtar3SP6UTbXJnJJc1Y3mEX4AgCUyCTvNuaIjxHwMOcH3fE5QWE8G6EQJhHzcZ4ooheTbg==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,16-12-2021,01-01-2022,31-01-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.9,kg,7.5,kg,0.6,kg,208.8,kg,No,No,Composted,Composted,3,tonnes,428516ce1242ac11236dcce744b04305,Retail
925c2874-e117-ef11-840a-6045bdaf1fd6,QtOIaFcCYBunwTRKaiCczmQqzN+anw/bGYouEMVc+/rdHXZ+Dr26OXV3npJrNULWZE6unrFPotKSCdacFna+IA==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,14-08-2022,01-09-2022,30-09-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,3000,kg,120,kg,7344,g,77308.512,kg,No,No,Landfilled,Landfilled,48,tonnes,e161ba95145b95095809fc7f1715e1fd,Retail
94e2bd6f-e117-ef11-840a-002248d4d4f0,nlRj978nLJEjqy3zrnx4E8upF7ncOA7D65iqLJSGK7U8Oko13/yhCO2V+mS1d090jKpM52zeE4H9nUEwYGcQtw==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-01-2024,01-02-2024,29-02-2024,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,10250,kg,410,kg,25092,g,264137.416,kg,No,No,Landfilled,Landfilled,164,tonnes,fe3ba779186092d78366181528e30f9c,Retail
c5c42671-e117-ef11-840a-7c1e5205d72d,VzTrlkypJVgR2urcYc17lG11QMxYhEa4h/tNkHwMVYzzjYwQYwGtdIB91tx2y9p2aXhyjKiRcvSm4FOr/e3pqQ==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-12-2022,01-01-2023,31-01-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2625,kg,105,kg,6426,g,67644.948,kg,No,No,Landfilled,Landfilled,42,tonnes,1d6c214c72ef788ee3595a5f7ee1d0ab,Retail
cfc42671-e117-ef11-840a-7c1e5205d72d,dK20iMF0eJoWy8ZQsUIjltQxi4ZXRSxJQjJ3+RWZfKBX2cgFs5yc4SiN6tZCblbFBk1E/CIRjXmxJT/Fdnzflw==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,12-11-2023,01-12-2023,31-12-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,35.4,kg,295,kg,23.6,kg,8212.8,kg,No,No,Composted,Composted,118,tonnes,6658e9bec9d71918fd636451a864eea4,Retail
ddc42671-e117-ef11-840a-7c1e5205d72d,8dyD2IbXTRJ7fPFzFYO6lODTa6dT6MonhEUWV45x+p4Nw5O6lTZM0eIdLkttYEXMxElPGRxLx3NRV36uo78wGg==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-01-2023,01-02-2023,28-02-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,4375,kg,175,kg,10710,g,112741.58,kg,No,No,Landfilled,Landfilled,70,tonnes,1bf476276ae7a26b0daf9cbf63b1e2e7,Retail
35eadf74-e117-ef11-840a-6045bdaef7dd,nMLgFe4kZVbeQvq2GjNykXTavyRi7X73/G/nP6ydKgJsGzzwSXA6pKtEBJ5iwWs1GjaSql/vLanzOgqxYxb1ug==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,15-08-2022,01-09-2022,30-09-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,3.9,kg,32.5,kg,2.6,kg,904.8,kg,No,No,Composted,Composted,13,tonnes,674b61d37960bca9174d76cb8e6ebbdb,Retail
311b2977-e117-ef11-840a-7c1e5205d72d,ND5LuBELjXFQbkQNoMsGsUXAJHx1euUnajqeDw6oLeLGlNkKoY6e4RjK48aWCvefqo1xjv+dSRMEJNzq19ZXKQ==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-03-2023,01-04-2023,30-04-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,27937.5,kg,1117.5,kg,68391,g,719935.518,kg,No,No,Landfilled,Landfilled,447,tonnes,792f802875a7ce6c21d3ef07a0365f1f,Retail
351b2977-e117-ef11-840a-7c1e5205d72d,xPStba6hYh2ACvfTTZc/UN/ufH4VV6mw75kHcH1l397XvMu6fqsB7js8CaEvU/t4QnBASjtH7krXv8m72kIWww==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,14-07-2022,01-08-2022,31-08-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,562.5,kg,22.5,kg,1377,g,14495.346,kg,No,No,Landfilled,Landfilled,9,tonnes,e7fa3ecc6eb4c5439b4ac333ba722cd8,Retail
5e1b2977-e117-ef11-840a-7c1e5205d72d,Jd1hcRx19wYzXmhr5HvP7MBNnNIKEsNch/IcbpsDNvZZ38oq6PlvGQlMZa6cKViBgDGNp2S1i39IZjRYD3IMFQ==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,12-06-2022,01-07-2022,31-07-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,5.7,kg,47.5,kg,3.8,kg,1322.4,kg,No,No,Composted,Composted,19,tonnes,bcba9585ee49ab9ceb77b6f9d51fee31,Retail
5f1b2977-e117-ef11-840a-7c1e5205d72d,p07FtcMUWkdifyRUceblj7FQUTzo3lRICYl2tUcjHrh+ItxavYGQNGlaZwnf8cyiuNkQ8VdRjEVOz/V7dEe/yw==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,10-02-2024,01-03-2024,31-03-2024,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2437.5,kg,97.5,kg,5967,g,62813.166,kg,No,No,Landfilled,Landfilled,39,tonnes,82575a752c8e42ddbdb4904fceab3f36,Retail
691b2977-e117-ef11-840a-7c1e5205d72d,JEnRo0l+jRVaxP0MhIqxO8CtXq+8YZ7ZsqwFdEfcwAC3ctCKWbAoW1AetxgoG1jgzXwIko6hTaAfCUWbET96Lg==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,15-01-2024,01-02-2024,29-02-2024,USA,One Shop,O&S USA,Waste Management Inc,0,0,12812.5,kg,512.5,kg,31365,g,330171.77,kg,No,No,Landfilled,Landfilled,205,tonnes,1a63c56b245970132a86905d6bbb18ed,Retail
9f872874-e117-ef11-840a-7c1e520f31c6,/4/JOx16FOgsMKUo9qH595lSCKsumMWmZrTJo/cLSz42Re5ViX2mA209jKL6KN8LHddH5h7DNO0CcVPtWJiYEA==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,17-08-2023,01-09-2023,30-09-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,12.3,kg,102.5,kg,8.2,kg,2853.6,kg,No,No,Composted,Composted,41,tonnes,d8e1a4a281181e0370c403a90ffdfd0a,Retail
b64a6f73-e117-ef11-840a-002248d4f085,wOb7mhA/EoaObxS4j/HweAVYMkfqunq5trFpuTpD5PUdM3bB2pBTyzuin1FzdoyVgZSvGLAO2bqdzH2lhMPzdw==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-01-2023,01-02-2023,28-02-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,5500,kg,220,kg,13464,g,141732.272,kg,No,No,Landfilled,Landfilled,88,tonnes,d5d4ae88a1c4fedd81f1c62c98168721,Retail
2d080c76-e117-ef11-840a-002248d4d4f0,ciOwf5eVIJ7rhg5KWmxUZeVIQWdE/xdLY2YN2Jp9VQ6RK1Hb+3pXIUhvLbSkltm4N6okPr9CO7l4cvg7CFgYjg==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-03-2023,01-04-2023,30-04-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,1437.5,kg,57.5,kg,3519,g,37043.662,kg,No,No,Landfilled,Landfilled,23,tonnes,9d5b74f399fc7bf3b842d7906b1746b2,Retail
331b2977-e117-ef11-840a-7c1e5205d72d,pU3EbBOPO3U3Rvl6uAn1X2H3th519DYFWOoGgZn+Id0bGBfKHDYPxl2wrKjTiIPjOqvtOLMi7BOBea65LTr1UA==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,12-09-2022,01-10-2022,31-10-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,39,kg,325,kg,26,kg,9048,kg,No,No,Composted,Composted,130,tonnes,ee173a20c4ad4d7ca2e704dca5d01611,Retail
801b2977-e117-ef11-840a-7c1e5205d72d,wf5qusNgCuHp1kdBaLXxQwhxVV6G18JAcq/0VNmWc9VitzyCoPKkct9dRUMzLHfoPnSExmxuTtRC2M0G7UYYdQ==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-03-2023,01-04-2023,30-04-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2937.5,kg,117.5,kg,7191,g,75697.918,kg,No,No,Landfilled,Landfilled,47,tonnes,f860dbdf4fd751b488e23ba7fbdfe95e,Retail
6658047c-e117-ef11-840a-002248d4d4f0,agW0JZEvSE/8Qx/TIST0ROit2Qf2Jsiuw3t3iCTd+y8T/x7Tku66K2TV6XxJ0alDTGnQxxALDD178sCT7pHOAg==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-04-2023,01-05-2023,30-05-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2562.5,kg,102.5,kg,6273,g,66034.354,kg,No,No,Landfilled,Landfilled,41,tonnes,aa9afa7c2ee0b057beecdbbfdfce71e8,Retail
8858047c-e117-ef11-840a-002248d4d4f0,Nzu1kx66HqzDIKMZ8nzA/IzNpLPQO2WKV9EVblJsR1VjAqOq2dnmcfACkdDDhjqrA9XJErWb76jUr4HYm7aGVw==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-05-2022,01-06-2022,30-06-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,1062.5,kg,42.5,kg,2601,g,27380.098,kg,No,No,Landfilled,Landfilled,17,tonnes,35be4f9275232877f60aba463ec4b6a9,Retail
