ORIGIN CORRELATION ID,BU_UNIT_IDN,FACILITY IDN,PRODUCT CATEGORY CODE,PRODUCT CATEGORY,MATERIAL,INDUSTRIAL PROCESS TYPE,VALUE CHAIN PARTNER,PRCSS DESC TEXT,INDUSTRY TYP CDE,ORDER IDN,QNTY RECVD NUM,QNTY RECVD NUM UNIT,ALLWD FOOD WASTGE LVL PRCNT NUM,ALLWD FOOD WASTGE LVL QTY NUM,ALLWD FOOD WASTGE LVL QTY NUM UNIT,IDEAL RETL OUTPUT NUM,IDEAL RETL OUTPUT NUM UNIT,FOOD EXPRD PRCNT NUM,QNTY_OF_FOOD_EXPRD_NUM,QNTY_OF_FOOD_EXPRD_NUM_UNIT,OTHER_FOOD_WASTE_PRCNT_NUM,QNTY OTHER FOOD WASTE NUM,QNTY OTHER FOOD WASTE NUM UNIT,WASTE QUANTITY,WASTE QUANTITY UNIT,FOOD PRCSSNG STGE OUTPT NUM,FOOD PRCSSNG STGE OUTPT NUM UNIT,INGRDNT COST NUM,INGRDNT COST NUM UNIT,CALCLTD WASTGE COST NUM ,CALCLTD WASTGE COST NUM UNIT,WASTE COLLCTN COST NUM,WASTE COLLCTN COST NUM UNIT,WASTE TRTMNT COST NUM,WASTE TRTMNT COST NUM UNIT,COST,COST UNIT,CONSUMPTION START DATE,CONSUMPTION END DATE,TRANSACTION DATE,WASTE GENRTN PRCSS TYP,WASTE GENRTN PRCSS CATGRY,WASTE DIVRSN METHD CDE,WASTE DIVRSN METHD SUB TYP CDE,WASTE DIVRSN SITE TYP CDE,HAZRD TYP CDE,DISPOSAL METHOD,SPEND TYPE,DATA QUALITY TYPE,EVIDENCE,EVIDENCE TXT 2,EVIDENCE TXT 3,FRST LOAD TME,FRST LOAD UPTD BY,LST UPDT TME,LST UPDT BY,SRC INFO,INDUSTRY,PLATFORM TYPE,COMPONENT ID,FACILITY,ORGANIZATIONAL UNIT
eadd9b14aaea50893bd97beaf12d2fde_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_Puls001,Pulses and Cereals,Corns,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Pul_Cor1809,2165,tonnes,1.5,32.5,%,2132,tonnes,1.4,29.9,tonnes,1.4,29.85,%,92,tonnes,2072,tonnes,2170,USD per tonnes,200009,USD,3318,USD,9954,USD,213281,USD,01-09-2022,30-09-2022,16-08-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
9aaa97e6188d97e124a6b1d6ba99239a_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Waste Management Inc,Retail,Retail,R_24ORD_FORET_USA_Dai_Mil6595,285,tonnes,1.5,4.3,%,281,tonnes,1.9,5.3,tonnes,1.2,3.37,%,13,tonnes,272,tonnes,660,USD per tonnes,8575,USD,468,USD,4677,USD,13720,USD,01-02-2024,29-02-2024,12-01-2024,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
08e42675f69733dc479d879f09a00c42_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Milk,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Bev_Mil9679,945,tonnes,1.5,14.2,%,931,tonnes,1.2,11.2,tonnes,1.1,10.24,%,36,tonnes,910,tonnes,660,USD per tonnes,23489,USD,1281,USD,12812,USD,37583,USD,01-01-2022,31-01-2022,16-12-2021,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
be00e8aae2907fa30008951fd2b08014_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Milk Solids,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Mil1865,565,tonnes,1.5,8.5,%,556,tonnes,1.4,7.8,tonnes,1.1,6.12,%,22,tonnes,542,tonnes,6640,USD per tonnes,148605,USD,806,USD,2417,USD,151828,USD,01-04-2022,30-04-2022,17-03-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
dedf6980258bc24f08a75cf5639e7a13_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Cashew Nuts,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Cas8971,506,tonnes,1.5,7.6,%,498,tonnes,1.4,7,tonnes,1.5,7.47,%,22,tonnes,484,tonnes,10620,USD per tonnes,234035,USD,793,USD,2380,USD,237209,USD,01-09-2022,30-09-2022,13-08-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
5fc3abc4416c4ab4fb445b9b8b08afc4_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Wheat,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Bak_Whe2623,8069,tonnes,1.5,121,%,7948,tonnes,1.6,127.2,tonnes,1.3,103.32,%,352,tonnes,7717,tonnes,1350,USD per tonnes,474560,USD,12655,USD,37965,USD,525180,USD,01-02-2022,28-02-2022,12-01-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
bc9c0348f624c30f61f720a2b644c754_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Grapes,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Bev_Gra7874,124,tonnes,1.5,1.9,%,122,tonnes,2,2.4,tonnes,1.4,1.71,%,6,tonnes,118,tonnes,3350,USD per tonnes,20150,USD,217,USD,2165,USD,22532,USD,01-01-2023,31-01-2023,12-12-2022,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
cc4ad9154fd0adf4b301ee2483e328e5_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Coffee Powder,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Cof4666,595,tonnes,1.5,8.9,%,586,tonnes,1.4,8.2,tonnes,1.4,8.2,%,25,tonnes,569,tonnes,4230,USD per tonnes,107084,USD,911,USD,2734,USD,110729,USD,01-11-2023,30-11-2023,12-10-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
1a63c56b245970132a86905d6bbb18ed_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Wheat,Food Retailing,Waste Management Inc,Retail,Retail,R_24ORD_FORET_USA_Bak_Whe5506,4934,tonnes,1.5,74,%,4860,tonnes,1.5,72.9,tonnes,1.2,58.32,%,205,tonnes,4729,tonnes,1350,USD per tonnes,277050,USD,7388,USD,22164,USD,306602,USD,01-02-2024,29-02-2024,15-01-2024,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
14bdc63779526f3f60526a04287afb95_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_Puls001,Pulses and Cereals,Red Kidney Beans,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Pul_Red8774,890,tonnes,1.5,13.4,%,877,tonnes,1.5,13.2,tonnes,1.4,12.28,%,39,tonnes,851,tonnes,1370,USD per tonnes,53129,USD,1396,USD,4188,USD,58714,USD,01-01-2022,31-01-2022,12-12-2021,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
fcdf5ca58fcbe578b53b90de5e1117f0_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Canola Seed,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Can7499,6,tonnes,1.5,0.1,%,6,tonnes,1.2,0.1,tonnes,1.1,0.07,%,0,tonnes,6,tonnes,1350,USD per tonnes,323,USD,9,USD,86,USD,418,USD,01-06-2022,30-06-2022,14-05-2022,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
a9c8048a7f6b7af2e63ef176f0f9d493_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Sugar,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Sug6092,256,tonnes,1.5,3.8,%,252,tonnes,1.4,3.5,tonnes,1.2,3.02,%,10,tonnes,245,tonnes,460,USD per tonnes,4775,USD,374,USD,1121,USD,6270,USD,01-10-2022,31-10-2022,11-09-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
c8604e9d04541df3aceb28db1bdf7145_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Meat001,Meat,Pork meat,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Mea_Por4749,1316,tonnes,1.5,19.7,%,1296,tonnes,1.4,18.1,tonnes,1.2,15.56,%,53,tonnes,1263,tonnes,2040,USD per tonnes,109027,USD,1924,USD,5772,USD,116724,USD,01-10-2022,31-10-2022,13-09-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
b75f57a9dc57aadd540721c86cc202a9_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Sugar,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Sug4031,472,tonnes,1.5,7.1,%,465,tonnes,1.6,7.4,tonnes,1.2,5.57,%,20,tonnes,452,tonnes,460,USD per tonnes,9237,USD,723,USD,2169,USD,12128,USD,01-10-2023,31-10-2023,13-09-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
d770f5d0b3676cd03133675174eb25b9_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Eggs,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_Egg8663,1901,tonnes,1.5,28.5,%,1872,tonnes,1.7,31.8,tonnes,1.4,26.21,%,87,tonnes,1814,tonnes,4840,USD per tonnes,418906,USD,3116,USD,9347,USD,431369,USD,01-10-2023,31-10-2023,12-09-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
db67f87fde52ad6428865f8715d53e5d_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Meat001,Meat,Chicken,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Mea_Chi2921,2003,tonnes,1.5,30,%,1973,tonnes,1.2,23.7,tonnes,1.1,21.7,%,75,tonnes,1928,tonnes,6270,USD per tonnes,472942,USD,2715,USD,8146,USD,483804,USD,01-06-2022,30-06-2022,15-05-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
7ac65fa9cabc86af59b531d9c66a3a52_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Fres001,Fresh Produce,Tomato,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Fre_Tom2737,6234,tonnes,1.5,93.5,%,6140,tonnes,1.8,110.5,tonnes,1.3,79.82,%,284,tonnes,5950,tonnes,4090,USD per tonnes,1160920,USD,10218,USD,30655,USD,1201790,USD,01-12-2022,31-12-2022,13-11-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
fd9016129699fbb7cc4dc75f3b3abc5a_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Apple,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_App9088,2193,tonnes,1.5,32.9,%,2160,tonnes,1.4,30.2,tonnes,1.2,25.92,%,89,tonnes,2104,tonnes,4470,USD per tonnes,398035,USD,3206,USD,9617,USD,410857,USD,01-05-2023,30-05-2023,12-04-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
dba335cab3ef84326d9f967595687431_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Butter,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Bak_But6344,849,tonnes,1.5,12.7,%,836,tonnes,1.8,15.1,tonnes,1.5,12.54,%,40,tonnes,809,tonnes,6130,USD per tonnes,247211,USD,1452,USD,4355,USD,253018,USD,01-07-2022,31-07-2022,11-06-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
04c61f9d8d63a1654bee77851bc25e13_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Wheat,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Whe5489,4973,tonnes,1.5,74.6,%,4898,tonnes,1.8,88.2,tonnes,1.4,68.57,%,231,tonnes,4741,tonnes,1350,USD per tonnes,312289,USD,8328,USD,24983,USD,345600,USD,01-11-2022,30-11-2022,14-10-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
