"ORIGIN_CORRELATION_ID","BU_UNIT_IDN","FACILITY_IDN","PRODUCT_CATEGORY_CODE","PRODUCT_CATEGORY","MATERIAL","INDUSTRIAL_PROCESS_TYPE","VALUE_CHAIN_PARTNER","PRCSS_DESC_TEXT","INDUSTRY_TYP_CDE","ORDER_IDN","QNTY_RECVD_NUM","QNTY_RECVD_NUM_UNIT","ALLWD_FOOD_WASTGE_LVL_PRCNT_NUM","ALLWD_FOOD_WASTGE_LVL_QTY_NUM","ALLWD_FOOD_WASTGE_LVL_QTY_NUM_UNIT","IDEAL_RETL_OUTPUT_NUM","IDEAL_RETL_OUTPUT_NUM_UNIT","FOOD_EXPRD_PRCNT_NUM","QNTY_OF_FOOD_EXPRD_NUM","QNTY_OF_FOOD_EXPRD_NUM_UNIT","OTHER_FOOD_WASTE_PRCNT_NUM","QNTY_OTHER_FOOD_WASTE_NUM","QNTY_OTHER_FOOD_WASTE_NUM_UNIT","WASTE_QUANTITY","WASTE_QUANTITY_UNIT","FOOD_PRCSSNG_STGE_OUTPT_NUM","FOOD_PRCSSNG_STGE_OUTPT_NUM_UNIT","INGRDNT_COST_NUM","INGRDNT_COST_NUM_UNIT","CALCLTD_WASTGE_COST_NUM","CALCLTD_WASTGE_COST_NUM_UNIT","WASTE_COLLCTN_COST_NUM","WASTE_COLLCTN_COST_NUM_UNIT","WASTE_TRTMNT_COST_NUM","WASTE_TRTMNT_COST_NUM_UNIT","COST","COST_UNIT","CONSUMPTION_START_DATE","CONSUMPTION_END_DATE","TRANSACTION_DATE","WASTE_GENRTN_PRCSS_TYP","WASTE_GENRTN_PRCSS_CATGRY","WASTE_DIVRSN_METHD_CDE","WASTE_DIVRSN_METHD_SUB_TYP_CDE","WASTE_DIVRSN_SITE_TYP_CDE","HAZRD_TYP_CDE","DISPOSAL_METHOD","SPEND_TYPE","DATA_QUALITY_TYPE","EVIDENCE","EVIDENCE_TXT_2","EVIDENCE_TXT_3","FRST_LOAD_TME","FRST_LOAD_UPTD_BY","LST_UPDT_TME","LST_UPDT_BY","SRC_INFO","INDUSTRY","PLATFORM_TYPE","COMPONENT_ID","FACILITY","ORGANIZATIONAL_UNIT"
eadd9b14aaea50893bd97beaf12d2fde_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_Puls001,Pulses and Cereals,Corns,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Pul_Cor1809,2165.00,tonnes,1.50,32.50,%,2132.00,tonnes,1.40,29.90,tonnes,1.40,29.85,%,92.00,tonnes,2072.00,tonnes,2170.00,USD per tonnes,200009.00,USD,3318.00,USD,9954.00,USD,213281.00,USD,2022-09-01,2022-09-30,2022-08-16,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
"9aaa97e6188d97e124a6b1d6ba99239a_IDEA_AZURE",OSG_FORET001,OS_USA0001,O&S_Dair001,Dairy And Eggs,Milk,Food Retailing,Waste Management Inc,Retail,Retail,R_24ORD_FORET_USA_Dai_Mil6595,285.00,tonnes,1.50,4.30,%,281.00,tonnes,1.90,5.30,tonnes,1.20,3.37,%,13.00,tonnes,272.00,tonnes,660.00,USD per tonnes,8575.00,USD,468.00,USD,4677.00,USD,13720.00,USD,2024-02-01,2024-02-29,2024-01-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"08e42675f69733dc479d879f09a00c42_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Milk,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Bev_Mil9679,945.00,tonnes,1.50,14.20,%,931.00,tonnes,1.20,11.20,tonnes,1.10,10.24,%,36.00,tonnes,910.00,tonnes,660.00,USD per tonnes,23489.00,USD,1281.00,USD,12812.00,USD,37583.00,USD,2022-01-01,2022-01-31,2021-12-16,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
be00e8aae2907fa30008951fd2b08014_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Milk Solids,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Mil1865,565.00,tonnes,1.50,8.50,%,556.00,tonnes,1.40,7.80,tonnes,1.10,6.12,%,22.00,tonnes,542.00,tonnes,6640.00,USD per tonnes,148605.00,USD,806.00,USD,2417.00,USD,151828.00,USD,2022-04-01,2022-04-30,2022-03-17,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
dedf6980258bc24f08a75cf5639e7a13_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Cashew Nuts,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Cas8971,506.00,tonnes,1.50,7.60,%,498.00,tonnes,1.40,7.00,tonnes,1.50,7.47,%,22.00,tonnes,484.00,tonnes,10620.00,USD per tonnes,234035.00,USD,793.00,USD,2380.00,USD,237209.00,USD,2022-09-01,2022-09-30,2022-08-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"5fc3abc4416c4ab4fb445b9b8b08afc4_IDEA_AZURE",OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Wheat,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Bak_Whe2623,8069.00,tonnes,1.50,121.00,%,7948.00,tonnes,1.60,127.20,tonnes,1.30,103.32,%,352.00,tonnes,7717.00,tonnes,1350.00,USD per tonnes,474560.00,USD,12655.00,USD,37965.00,USD,525180.00,USD,2022-02-01,2022-02-28,2022-01-12,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
bc9c0348f624c30f61f720a2b644c754_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Grapes,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Bev_Gra7874,124.00,tonnes,1.50,1.90,%,122.00,tonnes,2.00,2.40,tonnes,1.40,1.71,%,6.00,tonnes,118.00,tonnes,3350.00,USD per tonnes,20150.00,USD,217.00,USD,2165.00,USD,22532.00,USD,2023-01-01,2023-01-31,2022-12-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
cc4ad9154fd0adf4b301ee2483e328e5_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Coffee Powder,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Cof4666,595.00,tonnes,1.50,8.90,%,586.00,tonnes,1.40,8.20,tonnes,1.40,8.20,%,25.00,tonnes,569.00,tonnes,4230.00,USD per tonnes,107084.00,USD,911.00,USD,2734.00,USD,110729.00,USD,2023-11-01,2023-11-30,2023-10-12,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"1a63c56b245970132a86905d6bbb18ed_IDEA_AZURE",OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Wheat,Food Retailing,Waste Management Inc,Retail,Retail,R_24ORD_FORET_USA_Bak_Whe5506,4934.00,tonnes,1.50,74.00,%,4860.00,tonnes,1.50,72.90,tonnes,1.20,58.32,%,205.00,tonnes,4729.00,tonnes,1350.00,USD per tonnes,277050.00,USD,7388.00,USD,22164.00,USD,306602.00,USD,2024-02-01,2024-02-29,2024-01-15,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"14bdc63779526f3f60526a04287afb95_IDEA_AZURE",OSG_FORET001,OS_CHI0001,O&S_Puls001,Pulses and Cereals,Red Kidney Beans,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Pul_Red8774,890.00,tonnes,1.50,13.40,%,877.00,tonnes,1.50,13.20,tonnes,1.40,12.28,%,39.00,tonnes,851.00,tonnes,1370.00,USD per tonnes,53129.00,USD,1396.00,USD,4188.00,USD,58714.00,USD,2022-01-01,2022-01-31,2021-12-12,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
fcdf5ca58fcbe578b53b90de5e1117f0_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Canola Seed,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Can7499,6.00,tonnes,1.50,0.10,%,6.00,tonnes,1.20,0.10,tonnes,1.10,0.07,%,0.00,tonnes,6.00,tonnes,1350.00,USD per tonnes,323.00,USD,9.00,USD,86.00,USD,418.00,USD,2022-06-01,2022-06-30,2022-05-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
a9c8048a7f6b7af2e63ef176f0f9d493_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Sugar,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Sna_Sug6092,256.00,tonnes,1.50,3.80,%,252.00,tonnes,1.40,3.50,tonnes,1.20,3.02,%,10.00,tonnes,245.00,tonnes,460.00,USD per tonnes,4775.00,USD,374.00,USD,1121.00,USD,6270.00,USD,2022-10-01,2022-10-31,2022-09-11,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
c8604e9d04541df3aceb28db1bdf7145_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Meat001,Meat,Pork meat,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Mea_Por4749,1316.00,tonnes,1.50,19.70,%,1296.00,tonnes,1.40,18.10,tonnes,1.20,15.56,%,53.00,tonnes,1263.00,tonnes,2040.00,USD per tonnes,109027.00,USD,1924.00,USD,5772.00,USD,116724.00,USD,2022-10-01,2022-10-31,2022-09-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
b75f57a9dc57aadd540721c86cc202a9_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Sugar,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Sug4031,472.00,tonnes,1.50,7.10,%,465.00,tonnes,1.60,7.40,tonnes,1.20,5.57,%,20.00,tonnes,452.00,tonnes,460.00,USD per tonnes,9237.00,USD,723.00,USD,2169.00,USD,12128.00,USD,2023-10-01,2023-10-31,2023-09-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
d770f5d0b3676cd03133675174eb25b9_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Eggs,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_Egg8663,1901.00,tonnes,1.50,28.50,%,1872.00,tonnes,1.70,31.80,tonnes,1.40,26.21,%,87.00,tonnes,1814.00,tonnes,4840.00,USD per tonnes,418906.00,USD,3116.00,USD,9347.00,USD,431369.00,USD,2023-10-01,2023-10-31,2023-09-12,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
db67f87fde52ad6428865f8715d53e5d_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Meat001,Meat,Chicken,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Mea_Chi2921,2003.00,tonnes,1.50,30.00,%,1973.00,tonnes,1.20,23.70,tonnes,1.10,21.70,%,75.00,tonnes,1928.00,tonnes,6270.00,USD per tonnes,472942.00,USD,2715.00,USD,8146.00,USD,483804.00,USD,2022-06-01,2022-06-30,2022-05-15,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"7ac65fa9cabc86af59b531d9c66a3a52_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Fres001,Fresh Produce,Tomato,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Fre_Tom2737,6234.00,tonnes,1.50,93.50,%,6140.00,tonnes,1.80,110.50,tonnes,1.30,79.82,%,284.00,tonnes,5950.00,tonnes,4090.00,USD per tonnes,1160920.00,USD,10218.00,USD,30655.00,USD,1201790.00,USD,2022-12-01,2022-12-31,2022-11-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
fd9016129699fbb7cc4dc75f3b3abc5a_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Apple,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_App9088,2193.00,tonnes,1.50,32.90,%,2160.00,tonnes,1.40,30.20,tonnes,1.20,25.92,%,89.00,tonnes,2104.00,tonnes,4470.00,USD per tonnes,398035.00,USD,3206.00,USD,9617.00,USD,410857.00,USD,2023-05-01,2023-05-30,2023-04-12,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
