D_N_M_Emission,D_N_M_Row_Checksum,Do_N_M_Modifiedon,Name,Scope,Emissions_Source,Activity_type,Calculation_date,Transaction_date,Consumption_start_date,Consumption_end_date,Country_Region,Organizational_unit,Facility,Source,Latitude,Longitude,CH4,CH4_unit,CO2,CO2_unit,N2O,N2O_unit,CO2E,CO2E_unit,Is_market_based,Is_biogenic,Emission_factor,Factor_mapping,Adjusted_activity_quantity,Adjusted_activity_quantity_unit,Origin_correlation_ID,PFCs,PFCs_unit,SF6,SF6_unit,Other_GHGs,Other_GHGs_unit,HFCs,HFCs_unit,NF3,NF3_unit,Industry
f854281d-9319-ef11-840a-6045bdaf39a4,3pQ3Um0ncmChRRBgqv/GfMnVmr1uldTVjug7b5zcjle6HiSd9suIy29lgFNn1VOWBtbGluh/pz5lr7rkIXg9vQ==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,17-12-2021,01-01-2022,31-01-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,1.5000000000,kg,12.5000000000,kg,1.0000000000,kg,348.0000000000,kg,No,No,Composted,Composted,5.0000000000,tonnes,2e3ad08575766d750f2adb3b76ffd46b,,,,,,,,,,,Retail
65a91122-9319-ef11-840a-000d3af0e99a,c4JNq5z8D1eO1DbLQUGgCf8MaBU4+8tXSEspK5ImwLJJyrBMr9WhdwhDMRLRM1114FRYqCJZTqmL1XQFgA+6Fw==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,24-05-2024,14-05-2022,01-06-2022,30-06-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,125.0000000000,kg,5.0000000000,kg,306.0000000000,g,3221.1880000000,kg,No,No,Landfilled,Landfilled,2.0000000000,tonnes,da017b2448c86b953aa42bcb899328ae,,,,,,,,,,,Retail
ada91122-9319-ef11-840a-000d3af0e99a,/zHMRW6dhAblk2LPRg6BduHP9GlTqIDtO7mdtg2BKuS0LyeXcdb3qPDq7jggQILSY08/VeCcjPm8o4qXBu8KJw==,24-05-2024 06:02,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-10-2022,01-11-2022,30-11-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,30625.0000000000,kg,1225.0000000000,kg,74970.0000000000,g,789191.0600000000,kg,No,No,Landfilled,Landfilled,490.0000000000,tonnes,c7b4da7b9fd9b4f9f2b48295e7c1926e,,,,,,,,,,,Retail
5312c70f-9319-ef11-840a-000d3af0e99a,T3QVGYKqviY8oyXe9yy83Thp75Y8NCyC7mDlwInZxgQ4sHlxTLGOZSltgS03qA7rIg9AMIQxikCO4ZD5s8ZfVw==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,16-04-2022,01-05-2022,31-05-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.0000000000,kg,0.0000000000,kg,0.0000000000,kg,0.0000000000,kg,No,No,Composted,Composted,0.0000000000,tonnes,a1c889a58c341bf59846bb8c331bd584,,,,,,,,,,,Retail
5812c70f-9319-ef11-840a-000d3af0e99a,38ls9gbznq2M2OOYkSN2JZ3KvNKKqG0b3X4r+WDIZtsKuex3i8EVme3ItK4GPVOYKDa+E2pSp8JJkwII2ivctw==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,14-06-2023,01-07-2023,30-07-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,11312.5000000000,kg,452.5000000000,kg,27693.0000000000,g,291517.5140000000,kg,No,No,Landfilled,Landfilled,181.0000000000,tonnes,7890bea2c647ea58c13677c90287076d,,,,,,,,,,,Retail
f6a40b16-9319-ef11-840a-000d3af0e99a,5OWAjSyg+ExDMSAIwa4yuSxehiBUNDpn4fwlc5LWMryMpCAXMiJOlRJ4OsihCKr/Fgzo4M07J115Z9EMB2XpNg==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,13-07-2022,01-08-2022,31-08-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,36.9000000000,kg,307.5000000000,kg,24.6000000000,kg,8560.8000000000,kg,No,No,Composted,Composted,123.0000000000,tonnes,0095fbcd6100470201901a0dd4dd89b7,,,,,,,,,,,Retail
6ea50b16-9319-ef11-840a-000d3af0e99a,hEHsh9fG7OnN4jGyW9uR2BbfLqVlPknhVdaV4esU0zEsF00S4DKcfJGaImsxCzZY2mukHrqAFCCxyke8FsMSTA==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,15-07-2023,01-08-2023,30-08-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.6000000000,kg,5.0000000000,kg,0.4000000000,kg,139.2000000000,kg,No,No,Composted,Composted,2.0000000000,tonnes,d8b90e512064f34abb1cc2affac8ae1a,,,,,,,,,,,Retail
1da50b16-9319-ef11-840a-000d3af0e99a,b3h+/WgsO1yKloVznvrl8xb2VUmt1+esMALZAiaAtJYqLPFClMhWgEiZUmzSkXFdT9LdQBxqKPOFQ5KgVCN87g==,24-05-2024 06:01,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-05-2022,01-06-2022,30-06-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2625.0000000000,kg,105.0000000000,kg,6426.0000000000,g,67644.9480000000,kg,No,No,Landfilled,Landfilled,42.0000000000,tonnes,4a7493d14164fdabb1ea0783fcb88e0e,,,,,,,,,,,Retail
66416f1a-9319-ef11-840a-000d3af0d388,J5NoZ4sPQxWxvwL2dWs8U6A//6wwLa3QFUIzkMz6eolIuL6De6LRLOWLAJRre2MLkBz0I8Zhcgb6qiFJMv9Hmw==,24-05-2024 06:02,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,17-12-2023,01-01-2024,31-01-2024,USA,One Shop,O&S USA,Waste Management Inc,0,0,12812.5000000000,kg,512.5000000000,kg,31365.0000000000,g,330171.7700000000,kg,No,No,Landfilled,Landfilled,205.0000000000,tonnes,c91c64e418caf8bee76d32c4b52e358d,,,,,,,,,,,Retail
ee54281d-9319-ef11-840a-6045bdaf39a4,XACXloV7FBjv5SYiCOt8eshN4lB5QYS9HYBRWsMQ91BN9/uSKOLocWSpQQr9NntnuNIUV2xV6kJCxNjo4YJ8Cw==,24-05-2024 06:02,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,13-11-2023,01-12-2023,31-12-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,2437.5000000000,kg,97.5000000000,kg,5967.0000000000,g,62813.1660000000,kg,No,No,Landfilled,Landfilled,39.0000000000,tonnes,234bc53adb62716873b44b1fd7ebc5f9,,,,,,,,,,,Retail
9ea91122-9319-ef11-840a-000d3af0e99a,8RV41s3iCWuKmpp0IPbdtVi6+eBkm8rHFk2GAgXBHk+IN0xchqWYOK1BuuCTKGQBvgAqTCKBVDvhIeR3gs6/aQ==,24-05-2024 06:02,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-07-2022,01-08-2022,31-08-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2562.5000000000,kg,102.5000000000,kg,6273.0000000000,g,66034.3540000000,kg,No,No,Landfilled,Landfilled,41.0000000000,tonnes,f7fb169bbc4231c4acbd74d950438229,,,,,,,,,,,Retail
4292be10-9319-ef11-840a-000d3af0a822,XvYQFjPzhGUo7MFfFTc8lKaAmcVJNkmzd/sVMkrsfrEI6i6p0qYZf4XKDdr0dEQPoeAnvuJVV6oBHHPN1/lbfA==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,17-10-2022,01-11-2022,30-11-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,3312.5000000000,kg,132.5000000000,kg,8109.0000000000,g,85361.4820000000,kg,No,No,Landfilled,Landfilled,53.0000000000,tonnes,35b5ee618e85493921fa5838016a30fe,,,,,,,,,,,Retail
32ad1b15-9319-ef11-840a-002248d4f085,uC+iOa3tr9BOVz0J6+fBrcvBMMfLxYKaDp/KPVMRe5SGQvEWuHJ54UhX6B2TxauVGtMN0RyiWbAYm1Ejn/3Jxg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-11-2022,01-12-2022,31-12-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,4625.0000000000,kg,185.0000000000,kg,11322.0000000000,g,119183.9560000000,kg,No,No,Landfilled,Landfilled,74.0000000000,tonnes,8aaefb67f13a0c76c73b1e66c30cb03d,,,,,,,,,,,Retail
ada50b16-9319-ef11-840a-000d3af0e99a,EPeAACC67Fb1AhQaFpRG086IY0elevm2obWBmSOQ2WYGCgRzREodkOJbaHK23U2P9yP5SEmyRudD70jzoFCGHA==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,12-02-2023,01-03-2023,31-03-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.6000000000,kg,5.0000000000,kg,0.4000000000,kg,139.2000000000,kg,No,No,Composted,Composted,2.0000000000,tonnes,cf9b8bf2b19980342e90092b3fa56e13,,,,,,,,,,,Retail
1a4f061c-9319-ef11-840a-000d3af0e99a,6xpfepDwEYTIpc8kaL4mG6hywh2xni6HsbT+X2XIVHj7VZPGsEQh3kila3zSD8PMPFOl8/Fm1BFWW5NKUzwteg==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,13-04-2022,01-05-2022,31-05-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.3000000000,kg,2.5000000000,kg,0.2000000000,kg,69.6000000000,kg,No,No,Composted,Composted,1.0000000000,tonnes,175ad4d849bd0a5a4bd97ca222c2c829,,,,,,,,,,,Retail
82807e20-9319-ef11-840a-6045bde848a8,IFLy108yOWJ402MlvcgRKGn4/Q5X0NE0fZRhT/mw+5APsGqYZ97b/P+xqH6KKeavt7RrnlElKtbxDU8oJUQkcg==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,12-04-2022,01-05-2022,31-05-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.0000000000,kg,0.0000000000,kg,0.0000000000,kg,0.0000000000,kg,No,No,Composted,Composted,0.0000000000,tonnes,bf6e64d0b3d09d48a78dcac4894d8f4e,,,,,,,,,,,Retail
b64f061c-9319-ef11-840a-000d3af0e99a,Ri167UWl5Cl+cmN7zycovBmUJyafGVayxZg8CTiMgLQ/5bPiWo+rd5HDsy1I0E09BrtktaAtLKPgc7cX5SmzPw==,24-05-2024 06:02,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-04-2022,01-05-2022,31-05-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,62.5000000000,kg,2.5000000000,kg,153.0000000000,g,1610.5940000000,kg,No,No,Landfilled,Landfilled,1.0000000000,tonnes,439cd4313e94059a65b8973760234b68,,,,,,,,,,,Retail
d44f061c-9319-ef11-840a-000d3af0e99a,zwo5GHt3jfYIXEvlcu3lwuvi3mDGbkEZs96Cx2W6tww0skLkgFgt4/wvxC9puIvMER2nUJEt7SRJ8ItA8g6WCw==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,13-06-2023,01-07-2023,30-07-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,43.5000000000,kg,362.5000000000,kg,29.0000000000,kg,10092.0000000000,kg,No,No,Composted,Composted,145.0000000000,tonnes,9265dcf52980013b1eb2623d9945b3af,,,,,,,,,,,Retail
f7a40b16-9319-ef11-840a-000d3af0e99a,7tIvqLlQcd6w84NRxRyM7ffE7QxOlfdSXSIO/Z1y1ztcV7M7sjsI2kqIHaorwJAn3meBzChlLj760hdjz/m3yA==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,24-05-2024,15-09-2023,01-10-2023,31-10-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,25750.0000000000,kg,1030.0000000000,kg,63036.0000000000,g,663564.7280000000,kg,No,No,Landfilled,Landfilled,412.0000000000,tonnes,953a68b15d79367f4706683a8e8d5e08,,,,,,,,,,,Retail
66a50b16-9319-ef11-840a-000d3af0e99a,nKrDHijEyBo9CHbbn46zC8Tgp6JWSp4J/DbRfsSk7xh90YlMUOI5exAgL2InCjj2d1/EY8Y6I4IryWDGytvCGw==,24-05-2024 06:01,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-05-2022,01-06-2022,30-06-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2437.5000000000,kg,97.5000000000,kg,5967.0000000000,g,62813.1660000000,kg,No,No,Landfilled,Landfilled,39.0000000000,tonnes,ff56ecd9401464bfd69c0023d01e8c84,,,,,,,,,,,Retail
5392be10-9319-ef11-840a-000d3af0a822,YxBwppGxpHMPR9maRT7LSok6MsOXZlpFlYR1PZXZncZomsdHg1om231N1FGiqpS/dnzWRg48z9VPmMujSlU3ww==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,11-06-2023,01-07-2023,30-07-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,4312.5000000000,kg,172.5000000000,kg,10557.0000000000,g,111130.9860000000,kg,No,No,Landfilled,Landfilled,69.0000000000,tonnes,21eb6128fcb76c0b45ebb373a5d86353,,,,,,,,,,,Retail
3512c70f-9319-ef11-840a-000d3af0e99a,AiiFf04kQcXIpNhI/2sZjELN39AajU9HGYJ4+I9IJnVNOubCiabMpSrC4pl5rAtkpWmazpvQrFNbOjAAt98qdg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,13-02-2024,01-03-2024,31-03-2024,USA,One Shop,O&S USA,Waste Management Inc,0,0,2375.0000000000,kg,95.0000000000,kg,5814.0000000000,g,61202.5720000000,kg,No,No,Landfilled,Landfilled,38.0000000000,tonnes,fafced7549aac21c011212994d0ba8ea,,,,,,,,,,,Retail
f9a40b16-9319-ef11-840a-000d3af0e99a,n1MQHzHdQzzsdj8E279JSRlu3lBTL3pOPqTOW+PK62JkxesKRdYozGZX3hn4h4Jlnm1SZ+I1reHt2oEiXC7Sgw==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,13-12-2022,01-01-2023,31-01-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,4437.5000000000,kg,177.5000000000,kg,10863.0000000000,g,114352.1740000000,kg,No,No,Landfilled,Landfilled,71.0000000000,tonnes,e979bebebf486e75611c7d88b5b23bac,,,,,,,,,,,Retail
b3a50b16-9319-ef11-840a-000d3af0e99a,d19aNcB2PK+mg+4NwqKkW1HzOFUFegiewnpSI1dUcnwOQqYVTPkoZWpZDUBOdOZwNtHgV7obY/DTbcTvWyk+AQ==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,14-11-2023,01-12-2023,31-12-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,1.5000000000,kg,12.5000000000,kg,1.0000000000,kg,348.0000000000,kg,No,No,Composted,Composted,5.0000000000,tonnes,b4717aa52414768bd0c5073232593bcf,,,,,,,,,,,Retail
5afddc16-9319-ef11-840a-000d3af0a822,swjZ1ZxAbSbuejTCMgd73qsKGUkLJFgbeLJOu3YDI9LoxNdCW+TA8u472CUHrrrCXR6J/eZCOU2lXbSChEygMg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,14-02-2022,01-03-2022,31-03-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,62.5000000000,kg,2.5000000000,kg,153.0000000000,g,1610.5940000000,kg,No,No,Landfilled,Landfilled,1.0000000000,tonnes,f89a49e6a2899d85e5a1b1dd60a7197d,,,,,,,,,,,Retail
d6406f1a-9319-ef11-840a-000d3af0d388,yBRprlQ/S9+ubwDTf/1MVRv8SrOhJxrzrbcGvAUtA2YTN7Sc/5z+IVBpquGVTXUB8UKIBylyh07rifr38bEDIA==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,11-04-2022,01-05-2022,31-05-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,0.0000000000,kg,0.0000000000,kg,0.0000000000,g,0.0000000000,kg,No,No,Landfilled,Landfilled,0.0000000000,tonnes,6d7185db9ebe846cb058d3440fbbebde,,,,,,,,,,,Retail
524f061c-9319-ef11-840a-000d3af0e99a,UA7pFgTePkix94y/cTIGHWf3n16seEaOPmKntPAFFWesRsCfyMtG+HS07abJGnhxQkR+2lh/1g1z3Ws1htM3GQ==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-08-2022,01-09-2022,30-09-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,3312.5000000000,kg,132.5000000000,kg,8109.0000000000,g,85361.4820000000,kg,No,No,Landfilled,Landfilled,53.0000000000,tonnes,5fc325a64d292c3071aa3bf366568cae,,,,,,,,,,,Retail
c84f061c-9319-ef11-840a-000d3af0e99a,5QNFWvv4aj+GxsJeQvvIEW8mQ724Mw3SRNZ0nvFZ/sxnPYeVK7VoPGbbrSb5eZPodvav8PqWmMTHZgySi0UgWQ==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-12-2023,01-01-2024,31-01-2024,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,8250.0000000000,kg,330.0000000000,kg,20196.0000000000,g,212598.4080000000,kg,No,No,Landfilled,Landfilled,132.0000000000,tonnes,ed9a85b095a24f1f70faad7098ce7932,,,,,,,,,,,Retail
48a91122-9319-ef11-840a-000d3af0e99a,xLmn2+JXarYDnmLciAazjy0nBZpBOzNYmIin+v+0Eg6YcKT0E8U6ndLtW+mhn/MMv+5jDIPBiYm1DIjM8M6SrA==,24-05-2024 06:02,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,11-06-2022,01-07-2022,31-07-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,1375.0000000000,kg,55.0000000000,kg,3366.0000000000,g,35433.0680000000,kg,No,No,Landfilled,Landfilled,22.0000000000,tonnes,1dbdf967e9b9d9a8799dbf351e728db9,,,,,,,,,,,Retail
a8a91122-9319-ef11-840a-000d3af0e99a,LGkKEcIsSM95s4fmvdJb7HQQ2XsbL8xCnltZlsv6Zez7tqSutgf/GBLAdMDwaPONJv/oPIYmKhj1elxdJS4/qA==,24-05-2024 06:02,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,13-08-2022,01-09-2022,30-09-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2562.5000000000,kg,102.5000000000,kg,6273.0000000000,g,66034.3540000000,kg,No,No,Landfilled,Landfilled,41.0000000000,tonnes,32a041e5eb8a95896287acd93a0bc16b,,,,,,,,,,,Retail
c0a91122-9319-ef11-840a-000d3af0e99a,6JBxifm2pDns0dOCA/bg29Ot8BKb5kHxEXHUgYzFlpdyjUGlaaBpv4r3HlHNQltN/qTugTZ8h1hdqlF2g0Xl7w==,24-05-2024 06:02,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,16-11-2023,01-12-2023,31-12-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,750.0000000000,kg,30.0000000000,kg,1836.0000000000,g,19327.1280000000,kg,No,No,Landfilled,Landfilled,12.0000000000,tonnes,e7bd621a84fd83fbff06c45de9449aae,,,,,,,,,,,Retail
28c15c14-9319-ef11-840a-000d3af0d388,Mfp2q3RWeZAB3092PmFUetjH6b9KLhlhqx71wVr8i3fqx54FaDZ1oxsLuexeu4mEozz9lLYonoLJ8w0TqpZ2ag==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-08-2022,01-09-2022,30-09-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,1625.0000000000,kg,65.0000000000,kg,3978.0000000000,g,41875.4440000000,kg,No,No,Landfilled,Landfilled,26.0000000000,tonnes,bc8c0ad3cefb860dfbdea2c155c7c26a,,,,,,,,,,,Retail
